Summary,Description,Epic,Screen,Acceptance Criteria
S01 Scenario: to browse the scenario list with filters,"As a reader, I want to browse the scenario list with filters, so that I can find a scenario by id, title, priority, evidence tier, layer, status, coverage or testability.",Tier 1: Read the library,Scenario,"Given filters, when combined, then they apply with AND and the count reads n of total
Given no match, when the list renders, then it reads 'No scenario matches these filters.'
Given a card, when it renders, then it shows id, priority, evidence tier, title, verdict bar, layer, step count and Have share or 'not scored'"
S02 Scenario: to read a scenario end to end,"As a reader, I want to read a scenario end to end, so that I understand what happens, what we would see, and what we would not.",Tier 1: Read the library,Scenario,"Given scenario 021, when the record renders, then every section in screens/scenario.md section 4 is present with the example values
Given scaled_up, when it renders, then it is prefixed 'Hypothetical, not observed.'
Given mapping_confidence editorial, when the mapping renders, then the caveat box with the notes is shown"
S03 Scenario: to see each evidence row's verdict with its scores,"As a reader, I want to see each evidence row's verdict with its scores, so that I can tell Have from Collectable from Blind from Unscored at a glance.",Tier 1: Read the library,Scenario,"Given a row with no scores, when it renders, then it reads Unscored and 'not scored'
Given any verdict chip, when it renders, then the word is next to the color
Given a row with visibility 0, when it renders, then the chip reads Blind"
"S04 Every screen: to always see the organization, the shape and whether drafts are included","As a reader, I want to always see the organization, the shape and whether drafts are included, so that I never act on a figure that is not what I think it is.",Tier 1: Read the library,Every screen,"Given any screen with a figure, when it renders, then organization, shape and drafts flag are in the header"
S05 Coverage: to see coverage per scenario and in aggregate with completeness beside every figure,"As a detection engineer, I want to see coverage per scenario and in aggregate with completeness beside every figure, so that I know what is measured and what is not.",Tier 1: Read the library,Coverage,"Given an unscored scenario, when the list renders, then its share reads n/a and it is absent from the mean
Given any percentage, when it renders, then scored of rows is beside it
Given mean_have null, when the tile renders, then it reads 'nothing scored yet'"
S06 Coverage: to see which NOW scenarios have a Blind step and which gaps have no owner,"As a risk reader, I want to see which NOW scenarios have a Blind step and which gaps have no owner, so that I know the exposure and the escalation list.",Tier 1: Read the library,Coverage,"Given metrics.exposed, when the panel renders, then the scenario and its blind steps are listed
Given no exposed scenario, when it renders, then the empty state text is shown"
"S07 Use cases: to read a use case with its status, autonomy and limits visible","As a reader, I want to read a use case with its status, autonomy and limits visible, so that I do not over trust a plan or an automation.",Tier 1: Read the library,Use cases,"Given any use case, when it renders, then status, autonomy and limits are visible
Given autonomy above notify, when it renders, then the promotion section is shown
Given an illustrative record, when it renders, then the banner is shown"
"S08 Frameworks: to see every identifier the library uses, its baseline, and which scenarios use it","As an analyst, I want to see every identifier the library uses, its baseline, and which scenarios use it, so that I map to identifiers that exist and see where they are used.",Tier 1: Read the library,Frameworks,"Given the page, when it renders, then the baseline versions are shown and the reliability note is present
Given a revoked identifier, when it renders, then it is marked and its replacement named"
S09 Documentation: to read the layer cards and the environment shapes from records,"As a reader, I want to read the layer cards and the environment shapes from records, so that the page cannot drift from the library.",Tier 1: Read the library,Documentation,"Given the AI stack shape, when Environments renders, then five layer cards show its text
Given a layer page, when it renders, then its identifiers and scenarios come from the records
Given a proposed shape, when it renders, then it is marked proposed"
"S10 Reports: to see posture, scoreboard and movement from snapshots","As leadership, I want to see posture, scoreboard and movement from snapshots, so that I see where the program stands and whether movement was real.",Tier 1: Read the library,Reports,"Given a snapshot, when posture renders, then organization, shape, baseline and snapshot id are visible
Given rescores in the period, when movement renders, then they are listed separately from improvements
Given no snapshot, when the screen renders, then it says so and shows no figures"
